variable;lr;lr_log;rf;rf_spec
Bus stops;0,812454849;0,812093637;0,842921645;24,85774099
Bus stops in heighbouring areas;0,827597944;0,814469297;0,851555988;13,6842226
Businesses;0,801410114;0,698291192;0,736906085;87,60455652
Businesses in heighbouring areas;0,824534593;0,817699361;0,845241734;16,1542555
Full model performance;0,824534593;0,817727146;0,846693526;NA
If restaurant in neighbouring areas;0,689073354;0,741865796;0,761614337;25,96292152
Population;0,822103362;0,809745763;0,823457905;21,22051602
Population in heighbouring areas;0,823714921;0,810891914;0,834280356;16,14035858
Roads;0,737475688;0,815122256;0,833050847;50,86535123
Roads in heighbouring areas;0,822513198;0,815566824;0,836635176;18,70006746
